Original,Furigana,English,JLPT Level,Korean
人事,じんじ,"human resources, personnel management",N2,"인사, 인사관리"
心身,しんしん,mind and body,N2,마음과 몸
信ずる,しんずる,to believe,N2,믿다
申請,しんせい,"application, request, petition",N2,"신청, 요청, 청원"
人造,じんぞう,"man-made, synthetic, artificial",N2,"인공의, 합성의, 인공의"
寝台,しんだい,bed,N2,침대
診断,しんだん,diagnosis,N2,진단
侵入,しんにゅう,"invasion, raid, trespass",N2,"침입, 습격, 무단 침입"
人文科学,じんぶんかがく,"social sciences, humanities",N2,"사회과학, 인문학"
人命,じんめい,(human) life,N2,(인간) 생명
深夜,しんや,late at night,N2,늦은 밤
森林,しんりん,"forest, woods",N2,"숲, 숲"
親類,しんるい,relative(s) (same as 親戚 (しんせき)),N2,친척(親戚(しんせki)와 동일)
針路,しんろ,"course, direction",N2,"코스, 방향"
神話,しんわ,"myth, legend",N2,"신화, 전설"
酢,す,vinegar,N2,식초
水産,すいさん,"marine products, fisheries",N2,"수산물, 수산물"
炊事,すいじ,cooking,N2,요리
水蒸気,すいじょうき,"water vapor, steam",N2,"수증기, 증기"
水素,すいそ,hydrogen,N2,수소
垂直,すいちょく,"vertical, perpendicular",N2,"수직, 수직"
推定,すいてい,"presumption, assumption, estimation",N2,"추정, 가정, 추정"
水滴,すいてき,drop of water,N2,물방울
水筒,すいとう,"canteen, flask, water bottle",N2,"매점, 플라스크, 물병"
随筆,ずいひつ,"essays, miscellaneous writings",N2,"에세이, 각종 저서"
水分,すいぶん,moisture,N2,수분
水平,すいへい,"level, horizontal",N2,"레벨, 수평"
水平線,すいへいせん,horizon,N2,수평선
水面,すいめん,water's surface,N2,물의 표면
水曜,すいよう,Wednesday,N2,수요일
図々しい,ずうずうしい,"impudent, shameless",N2,"뻔뻔한, 뻔뻔한"
ずうっと,ずうっと,"all the time, all the way",N2,"항상, 끝까지"
末っ子,すえっこ,youngest child,N2,막내
スカーフ,スカーフ,scarf,N2,스카프
図鑑,ずかん,picture book,N2,그림책
隙,すき,"unguarded moment, chance",N2,"방심하지 않은 순간, 기회"
杉,すぎ,Japanese cedar,N2,삼나무
好き嫌い,すききらい,"likes and dislikes, taste",N2,"좋아하는 것과 싫어하는 것, 맛"
好き好き,すきずき,matter of taste,N2,취향의 문제
透き通る,すきとおる,to be(come) transparent,N2,투명해지다
隙間,すきま,"crack, gap, opening",N2,"균열, 틈, 틈"
スクール,スクール,school,N2,학교
少なくとも,すくなくとも,at least,N2,적어도
図形,ずけい,figure,N2,수치
鈴,すず,bell,N2,벨
涼む,すずむ,"to cool oneself, to cool off",N2,"몸을 식히다, 몸을 식히다"
スタート,スタート,start,N2,시작
スチュワーデス,スチュワーデス,stewardess,N2,스튜어디스
すっきり,すっきり,"shapely, clear, neat",N2,"매끈한, 맑고, 깔끔한"
ステージ,ステージ,stage; performance,N2,단계; 성능
ストッキング,ストッキング,stockings,N2,스타킹
ストップ,ストップ,stop,N2,멈추다
素直,すなお,"obedient, meek, docile",N2,"순종적인, 온유한, 유순한"
頭脳,ずのう,"head, brains, intellect",N2,"머리, 두뇌, 지성"
スピーカー,スピーカー,speaker,N2,스피커
図表,ずひょう,"chart, diagram, graph",N2,"차트, 도표, 그래프"
スマート,スマート,"smart, stylish, slim",N2,"똑똑하다, 스타일리시하다, 날씬하다"
住まい,すまい,"dwelling, house",N2,주택
すまない,すまない,sorry (phrase),N2,죄송합니다 (문구)
相撲,すもう,sumo wrestling,N2,스모 레슬링
スライド,スライド,slide,N2,슬라이드
ずらす,ずらす,"to put off, to delay",N2,"연기하다, 지연시키다"
ずらり,ずらり,"in a line, in a row",N2,"줄줄이, 줄줄이"
スリッパ,スリッパ,slippers,N2,슬리퍼
する,する,to print,N2,인쇄하다
狡い,ずるい,"sly, cunning",N2,"교활한, 교활한"
寸法,すんぽう,"measurement, size, dimension",N2,"측정, 크기, 차원"
姓,せい,"surname, family name",N2,"성, 성"
税関,ぜいかん,customs,N2,세관
製作,せいさく,"manufacture, production",N2,"제조, 생산"
制作,せいさく,"work (e.g., film, book)",N2,"작품(예: 영화, 책)"
性質,せいしつ,"nature, property, disposition",N2,"성격, 재산, 처분"
清書,せいしょ,clean copy,N2,깨끗한 사본
青少年,せいしょうねん,"youth, young person",N2,"젊음, 젊은 사람"
整数,せいすう,integer,N2,정수
清掃,せいそう,cleaning,N2,청소
生存,せいぞん,"existence, being, survival",N2,"존재, 존재, 생존"
生長,せいちょう,growth (of a plant),N2,(식물의) 성장
政党,せいとう,(member of) political party,N2,(당원) 정당
生年月日,せいねんがっぴ,date of birth,N2,생일
性能,せいのう,"ability, capability",N2,"능력, 능력"
整備,せいび,"maintenance, overhaul",N2,"유지 보수, 정밀 검사"
成分,せいぶん,"ingredient, component, composition",N2,"성분, 성분, 성분"
性別,せいべつ,"sex, gender",N2,"성별, 성별"
正方形,せいほうけい,square,N2,정사각형
正門,せいもん,"main gate, main entrance",N2,"정문, 정문"
成立,せいりつ,"formation, establishment, completion",N2,"형성, 설립, 완성"
西暦,せいれき,"Christian Era, after (Christ’s) death (A.D.)",N2,"기독교 시대, (그리스도의) 죽음 이후(A.D.)"
背負う,せおう,to be burdened with; to carry on (one's) back or shoulder(s),N2,부담을 느끼다; 등이나 어깨를 짊어지다
赤道,せきどう,equator,N2,적도
折角,せっかく,"with trouble, at great pains, long-awaited",N2,"수고하고, 애쓰고, 오랫동안 기다려온"
接近,せっきん,"getting closer, drawing nearer, approaching",N2,"가까워지다, 가까워지다, 가까워지다"
接する,せっする,to attend to (someone); to associate with,N2,(누군가)에게 참석하다; ~와 연합하다
せっせと,せっせと,"busily, away",N2,"바쁘게, 떨어져"
接続,せつぞく,"connection, union, join, link; changing trains",N2,"연결, 결합, 결합, 링크; 열차를 갈아타다"
瀬戸物,せともの,"earthenware, crockery, china",N2,"토기, 그릇, 중국"
ぜひとも,ぜひとも,by all means (with sense of not taking 'no' for an answer),N2,꼭 (답을 '아니오'로 받아들이지 않는다는 의미에서)
迫る,せまる,"to draw near, to press",N2,"가까이 다가가다, 누르다"
ゼミ,ゼミ,seminar,N2,세미나
せめて,せめて,at least,N2,적어도
攻める,せめる,"to attack, to assault, to assail",N2,"공격하다, 공격하다, 폭행하다"
セメント,セメント,cement,N2,시멘트
台詞,せりふ,"speech, words, one's lines, remarks",N2,"말, 말, 대사, 발언"
栓,せん,"stopper, cork, stopcock",N2,"마개, 코르크, 마개"
前～,ぜん～,"former, late ~, past ~",N2,"이전, 늦은 ~, 과거 ~"
前後,ぜんご,"front and back, before and after",N2,"앞과 뒤, 전후"
洗剤,せんざい,"detergent, cleanser, cleaning agent, washing material",N2,"세제, 클렌저, 세척제, 세탁재료"
全集,ぜんしゅう,complete works,N2,완전한 작품
全身,ぜんしん,"whole (body), full-length (e.g., portrait) systemic",N2,"전체(신체), 전체 길이(예: 세로) 전신"
扇子,せんす,folding fan,N2,부채
専制,せんせい,"despotism, autocracy",N2,"전제정치, 독재정치"
先々月,せんせんげつ,month before last,N2,지난 한 달 전
先々週,せんせんしゅう,2 weeks before,N2,2주 전
先祖,せんぞ,ancestor,N2,선조
先端,せんたん,"pointed end, tip",N2,"끝이 뾰족하다, 끝이 뾰족하다"
センチ,センチ,centimeter,N2,센티미터
宣伝,せんでん,"publicity, advertisement, advertising, propaganda",N2,"홍보, 광고, 광고, 선전"
先頭,せんとう,"head, lead, vanguard",N2,"머리, 선두, 선봉대"
全般,ぜんぱん,"(the) whole, general",N2,"(the) 전체, 일반적인"
扇風機,せんぷうき,electric fan,N2,선풍기
洗面,せんめん,"wash up (one's face), have a wash",N2,"(얼굴을) 씻다, 씻다"
全力,ぜんりょく,"all one's power, whole energy",N2,"자신의 모든 힘, 온 힘을 다해"
線路,せんろ,"line, track, roadbed",N2,"선, 선로, 노반"
総～,そう～,"gross, general, entire",N2,"총체적, 일반, 전체"
相違,そうい,"difference, discrepancy, variation",N2,"차이점, 불일치, 변형"
そういえば,そういえば,which reminds me ..,N2,나에게 생각나는 ..
雑巾,ぞうきん,"house-cloth, dust cloth",N2,"집수건, 먼지걸레"
増減,ぞうげん,"increase and decrease, fluctuation",N2,"증가 및 감소, 변동"
倉庫,そうこ,"storehouse, warehouse",N2,"창고, 창고"
相互,そうご,"mutual, reciprocal",N2,"상호적인, 상호적인"
創作,そうさく,"production, creation, work",N2,"생산, 창조, 일"
葬式,そうしき,funeral,N2,장례식
造船,ぞうせん,shipbuilding,N2,조선
騒々しい,そうぞうしい,"noisy, boisterous",N2,"시끄러운, 떠들썩한"
増大,ぞうだい,"increase, growth",N2,"증가, 성장"
そうっと,そうっと,"softly, cautiously, gently",N2,"부드럽게, 조심스럽게, 부드럽게"
送別,そうべつ,"farewell, send-off",N2,"작별 인사, 송별"
草履,ぞうり,Japanese sandals (footwear),N2,일본식 샌들(신발)
総理大臣,そうりだいじん,Prime Minister,N2,총리
送料,そうりょう,"postage, carriage",N2,"우편요금, 운송료"
属する,ぞくする,"to belong to, to come under",N2,"속하다, 속하다"
続々,ぞくぞく,"successively, one after another",N2,"차례로, 차례대로"
速達,そくたつ,"express, special delivery",N2,"특급, 특별 배송"
測定,そくてい,measurement,N2,측정
測量,そくりょう,"measurement, surveying",N2,"측정, 측량"
速力,そくりょく,speed,N2,속도
素質,そしつ,"talent, capability",N2,"재능, 능력"
祖先,そせん,ancestor(s),N2,부조
そそっかしい,そそっかしい,"careless, thoughtless",N2,"부주의한, 생각이 없는"
卒直,そっちょく,"frank, candid, honest",N2,"솔직한, 솔직한, 솔직한"
率直,そっちょく,"frank, candid, straightforward, openhearted, direct, outspoken",N2,"솔직하다, 솔직하다, 솔직하다, 개방적이다, 직접적이다, 솔직하다"
そのころ,そのころ,"in those days, at that time, then",N2,"그때, 그때, 그때"
そのため,そのため,"hence, for that reason",N2,"그러므로, 그런 이유로"
その他,そのほか,besides,N2,게다가
そば,そば,soba (buckwheat noodles),N2,소바(메밀국수)
剃る,そる,to shave,N2,면도하다
それなのに,それなのに,"though, although",N2,"그래도, 그래도"
それなら,それなら,"If that's the case..., If so..., That being the case...",N2,"그렇다면..., 그렇다면..., 그렇다면..."
それはいけませんね (かん),それはいけませんね (かん),that's not good,N2,그건 좋지 않아
逸れる,それる,"to stray (turn) from subject, to go astray",N2,"주제에서 벗어나다(방향을 바꾸다), 길을 잃다"
揃える,そろえる,"to collect, to gather, to get together, to complete (a collection) to arrange, to put in order, to prepare, to get ready to make uniform, to make even, to match",N2,"모으다, 모으다, 모으다, 완성하다(수집물)를 정리하다, 정리하다, 준비하다, 유니폼을 만들 준비를 하다, 고르게 하다, 일치시키다"
算盤,そろばん,abacus,N2,주판
存じる,ぞんじる,(humble) to know,N2,(겸손하게) 알고 있다
存ずる,ぞんずる,(humble) to know,N2,(겸손하게) 알고 있다
損得,そんとく,"loss and gain, advantage and disadvantage",N2,"손실과 이득, 장점과 단점"
第～,だい～,~th,N2,~일
タイア,タイア,"tire, tyre",N2,"타이어, 타이어"
だいいち (とりわけ),だいいち (とりわけ),"first, foremost,&nbsp;&nbsp;#1",N2,"우선,&nbsp;&nbsp;#1"
大学院,だいがくいん,graduate school,N2,대학원
大工,だいく,carpenter,N2,목수
体系,たいけい,"system, organization",N2,"시스템, 조직"
太鼓,たいこ,"drum, tambourine",N2,"드럼, 탬버린"
対策,たいさく,"counter-plan, counter-measure",N2,"대책, 대책"
大して,たいして,"(not so) much, (not) very",N2,"(별로) 별로, (별로) 별로"
対照,たいしょう,"contrast, antithesis, comparison",N2,"대조, 대조, 비교"
大小,だいしょう,size,N2,크기
体制,たいせい,"order, system, structure",N2,"질서, 시스템, 구조"
体積,たいせき,"capacity, volume",N2,"용량, 볼륨"
大層,たいそう,"very much, greatly",N2,"매우, 크게"
体操,たいそう,"gymnastics, physical exercises, calisthenics",N2,"체조, 신체 운동, 미용 체조"
大分,だいぶん,"considerably, greatly, a lot",N2,"상당히, 크게, 많이"
大木,たいぼく,large tree,N2,큰 나무
題名,だいめい,"title, caption, heading",N2,"제목, 캡션, 표제"
代名詞,だいめいし,pronoun,N2,대명사
ダイヤグラム,ダイヤグラム,diagram,N2,도표
ダイヤモンド,ダイヤモンド,diamond,N2,다이아몬드
ダイヤル,ダイヤル,dial,N2,다이얼
対立,たいりつ,"confrontation, opposition, antagonism",N2,"대결, 반대, 반목"
田植え,たうえ,rice planting,N2,모내기
絶えず,たえず,constantly,N2,끊임없이
楕円,だえん,ellipse,N2,타원
高める,たかめる,"to raise, to lift, to boost, to enhance",N2,"높이다, 끌어올리다, 향상시키다, 향상시키다"
耕す,たがやす,"to till, to plow, to cultivate",N2,"경작하다, 경작하다, 경작하다"
滝,たき,waterfall,N2,폭포
蓄える,たくわえる,"to save, to store, to lay in stock",N2,"저장하다, 보관하다, 재고로 두다"
竹,たけ,bamboo,N2,대나무
ただいま,ただいま,"Here I am, I'm home!",N2,"여기 있어요, 집에 왔어요!"
但し,ただし,"but, however, provided that",N2,그러나 그러나
畳む,たたむ,"to fold (e.g., clothes, umbrella)",N2,"접다 (예: 옷, 우산)"
立ち止まる,たちどまる,"to stop, to halt, to stand still",N2,"멈추다, 멈추다, 가만히 서다"
たちまち,たちまち,"instantly, suddenly, all at once",N2,"즉시, 갑자기, 한꺼번에"
建つ,たつ,"to be erected, to be built",N2,"건립되다, 건설되다"
脱線,だっせん,"derailment, digression",N2,"탈선, 이탈"
妥当,だとう,"proper, appropriate",N2,"적절한, 적절한"
例える,たとえる,"to compare, to liken",N2,"비교하다, 비유하다"
頼もしい,たのもしい,"reliable, promising",N2,"신뢰할 수 있는, 유망한"
足袋,たび,"tabi, Japanese socks (with split toe)",N2,"버선, 일본식 양말(발가락이 갈라진 것)"
ダブル,ダブル,double,N2,더블
ダム,ダム,dam,N2,댐
溜息,ためいき,a sigh,N2,한숨
ためらう,ためらう,to be hesitant,N2,주저하다
だらしない,だらしない,"slovenly, loose, a slut",N2,"지저분한, 느슨한, 창녀"
足る,たる,"to be sufficient, to be enough",N2,"충분하다, 충분하다"
短～,たん～,short ~,N2,짧다 ~
段階,だんかい,"gradation, grade, stage",N2,"그라데이션, 등급, 스테이지"
短期,たんき,short term,N2,단기
炭鉱,たんこう,"coal mine, coal pit",N2,"탄광, 석탄 구덩이"
短所,たんしょ,"defect, weak point; disadvantage",N2,"결함, 약점; 불리"
たんす,たんす,chest of drawers,N2,서랍장
淡水,たんすい,fresh water,N2,민물
断水,だんすい,water outage,N2,단수
単数,たんすう,singular (number),N2,단수(숫자)
団地,だんち,housing complex,N2,주택단지
断定,だんてい,"conclusion, decision",N2,"결론, 결정"
短編,たんぺん,"short (e.g., story, film)",N2,"단편(예: 소설, 영화)"
田ぼ,たんぼ,"paddy field, farm",N2,"논, 농장"
誓う,ちかう,"to swear, to vow",N2,"맹세하다, 맹세하다"
地下水,ちかすい,underground water,N2,지하수
近々,ちかぢか,"soon, before long",N2,"곧, 머지않아"
近付ける,ちかづける,"to bring near, to put close, to let come near",N2,"가까이 가다, 가까이 가다, 가까이 가다"
近寄る,ちかよる,"to approach, to draw near",N2,"접근하다, 가까이 다가가다"
力強い,ちからづよい,"powerful, strong, vigorous",N2,"강력한, 강한, 활발한"
ちぎる,ちぎる,"to cut up fine, to pick (fruit)",N2,"잘게 자르다, (과일을) 따다"
地質,ちしつ,geological features,N2,지질학적 특징
知人,ちじん,"friend, acquaintance",N2,"친구, 지인"
地帯,ちたい,"area, zone",N2,"지역, 구역"
縮む,ちぢむ,"to shrink, to be contracted",N2,"수축하다, 위축되다"
縮める,ちぢめる,"to shorten, to reduce, to shrink",N2,"단축하다, 축소하다, 축소하다"
縮れる,ちぢれる,"to be wavy, to be curled",N2,"물결 모양이 되다, 구불구불해지다"
チップ,チップ,"gratuity, tip; chip",N2,"팁, 팁; 칩"
地点,ちてん,"site, point on a map",N2,"사이트, 지도에 점을 찍다"
地名,ちめい,place name,N2,지명
茶色い,ちゃいろい,brown,N2,갈색
着々,ちゃくちゃく,steadily,N2,꾸준히
中間,ちゅうかん,"middle, midway, interim",N2,"중간, 중간, 중간"
中旬,ちゅうじゅん,second third of a month,N2,매월 둘째/삼분의 일
抽象,ちゅうしょう,abstract,N2,추상적인
中世,ちゅうせい,"Middle Ages, medieval times",N2,"중세 시대, 중세 시대"
中性,ちゅうせい,"neuter gender, neutral",N2,"중성, 중립"
中途,ちゅうと,"in the middle, half-way",N2,"중간에, 반쯤"
中年,ちゅうねん,middle-aged,N2,중년의
チョーク,チョーク,chalk,N2,분필
長～,ちょう～,long ~,N2,길다 ~
超過,ちょうか,"excess, being more than",N2,"과잉, 그 이상"
彫刻,ちょうこく,"carving, engraving, sculpture",N2,"조각하다, 조각하다, 조각하다"
長所,ちょうしょ,"strong point, merit; advantage",N2,"장점, 장점; 이점"
長女,ちょうじょ,eldest daughter,N2,큰 딸
調整,ちょうせい,"regulation, adjustment, tuning",N2,"규제, 조정, 튜닝"
調節,ちょうせつ,"regulation, adjustment, control",N2,"규제, 조정, 통제"
長短,ちょうたん,"length, long and short, +-",N2,"길이, 길고 짧음, +-"
頂点,ちょうてん,"top, summit",N2,"정상, 정상"
長男,ちょうなん,eldest son,N2,장남
長方形,ちょうほうけい,"rectangle, oblong",N2,"직사각형, 직사각형"
調味料,ちょうみりょう,"condiment, seasoning",N2,"조미료, 조미료"
直後,ちょくご,immediately following,N2,바로 다음
直線,ちょくせん,straight line,N2,일직선
直前,ちょくぜん,just before,N2,직전에
直通,ちょくつう,direct connection,N2,직접 연결
直流,ちょくりゅう,direct current,N2,직류
貯蔵,ちょぞう,"storage, preservation",N2,"저장, 보존"
直角,ちょっかく,right angle,N2,직각
直径,ちょっけい,diameter,N2,지름
散らかす,ちらかす,"to scatter around, to leave untidy",N2,"흩어지게 하다, 어수선하게 방치하다"
散らかる,ちらかる,to be in disorder,N2,무질서하다
塵紙,ちりがみ,"tissue paper, toilet paper",N2,"티슈 페이퍼, 화장지"
追加,ついか,"addition, supplement, appendix",N2,"추가, 보충, 부록"
ついで,ついで,"opportunity, occasion",N2,"기회, 기회"
つうか,つうか,currency,N2,통화
通勤,つうきん,commuting to work,N2,직장으로 통근
通ずる,つうずる,"to lead, to run, to open",N2,"이끌다, 달리다, 열다"
通知,つうち,"notice, notification",N2,"통지, 통지"
通帳,つうちょう,bankbook,N2,은행 통장
通訳,つうやく,"interpretation (i.e., oral translation) interpreter",N2,"통역(즉, 구두 번역) 통역사"
通用,つうよう,"popular use, circulation",N2,"대중적인 사용, 유통"
通路,つうろ,"passage, pathway",N2,"통로, 통로"
突き当たり,つきあたり,"end (e.g., of street)",N2,끝(예: 거리)
突き当たる,つきあたる,"to run into, to collide with",N2,"부딪히다, 충돌하다"
月日,つきひ,"time, years, days",N2,"시간, 년, 일"
次ぐ,つぐ,"to follow, to come after, to come next (to)",N2,"따르다, 뒤따라오다, 다음에 오다(~에)"
伝わる,つたわる,"to spread (of a rumor, news, etc.), to travel, to circulate, to go around, to be passed around, to become known",N2,"(소문, 뉴스 등을) 퍼뜨리다, 여행하다, 유포하다, 돌아다니다, 전달하다, 알려지다"
突っ込む,つっこむ,"to plunge into, to stick into",N2,"뛰어들다, 푹 빠져들다"
務める,つとめる,"to serve, to act",N2,"봉사하다, 행동하다"
努める,つとめる,"to try, to aim",N2,"시도하다, 목표로 삼다"
綱,つな,rope,N2,로프
繋がり,つながり,"connection, link, relationship",N2,"연결, 링크, 관계"
繋がる,つながる,"to be tied together, to be connected to, to be linked to",N2,"연결되다, 연결되다, 연결되다"
粒,つぶ,grain,N2,곡물
潰す,つぶす,"to smash, to waste",N2,"부수다, 낭비하다"
潰れる,つぶれる,"to be smashed, to go bankrupt",N2,"박살나다, 파산하다"
つまずく,つまずく,"to stumble, to trip",N2,"넘어지다, 넘어지다"
躓く,つまずく,"to trip (over), to stumble",N2,"넘어지다(넘어지다), 걸려 넘어지다"
詰まる,つまる,"to be blocked, to be packed",N2,"봉쇄하다, 봉쇄하다"
積む,つむ,"to pile up, to stack",N2,"쌓다, 쌓다"
爪,つめ,fingernail or toenail,N2,손톱이나 발톱
艶,つや,"gloss, glaze",N2,"광택, 유약"
強気,つよき,"firm, strong",N2,"확고한, 강한"
釣り合う,つりあう,"to balance, to be in harmony, to suit",N2,"균형을 이루다, 조화를 이루다, 조화를 이루다"
吊る,つる,to hang,N2,매달다
吊す,つるす,to hang,N2,매달다
テーマ,テーマ,"theme, project, topic (GER: Thema)",N2,"테마, 프로젝트, 주제(GER: Thema)"
手洗い,てあらい,"restroom, lavatory",N2,"화장실, 화장실"
低～,てい～,low ~,N2,낮음 ~
定員,ていいん,"fixed number of regular personnel, capacity (e.g., of boat)",N2,"고정된 정규 직원 수, 수용 능력(예: 보트)"
定価,ていか,established price,N2,확립된 가격
低下,ていか,"fall, decline",N2,"떨어지다, 쇠퇴하다"
定期券,ていきけん,"commuter pass, season ticket",N2,"정기권, 정기권"
定休日,ていきゅうび,regular holiday,N2,정기휴일
停止,ていし,"suspension, interruption, stoppage",N2,"중단, 중단, 중지"
停車,ていしゃ,"stopping (e.g., train)",N2,정차(예: 기차)
停電,ていでん,"power outage, electricity outage, blackout",N2,"정전, 정전, 정전"
出入り,でいり,"in and out, coming and going",N2,"들어오고 나가고, 들어오고 나가고"
出入口,でいりぐち,exit and entrance,N2,출구와 입구
出入り口,でいりぐち,exit and entrance,N2,출구와 입구
手入れ,ていれ,"repairs, maintenance",N2,"수리, 유지 보수"
出来上がり,できあがり,"be finished, ready",N2,"끝나다, 준비되다"
出来上がる,できあがる,"to be finished, to be ready",N2,"마치다, 준비하다"
的確,てきかく,"precise, accurate",N2,"정확하다, 정확하다"
適確,てきかく,"precise, accurate",N2,"정확하다, 정확하다"
手首,てくび,wrist,N2,손목
凸凹,でこぼこ,"unevenness, roughness, ruggedness",N2,"불균일, 거칠기, 거칠기"
手頃,てごろ,"moderate, handy",N2,"보통, 편리한"
手ごろ,てごろ,"handy, convenient suitable, reasoanble, moderate",N2,"편리하다, 편리하다, 적합하다, 합리적이다, 적당하다"
弟子,でし,"pupil, disciple, apprentice",N2,"학생, 제자, 견습생"
でたらめ,でたらめ,"irresponsible utterance, nonsense; random",N2,"무책임한 발언, 넌센스; 무작위의"
手帳,てちょう,notebook,N2,공책
鉄橋,てっきょう,iron bridge,N2,철교
手続き,てつづき,"procedure, (legal) process, formalities",N2,"절차, (법적) 절차, 절차"
鉄砲,てっぽう,gun,N2,총
テニスコート,テニスコート,tennis court,N2,테니스 코트
手拭い,てぬぐい,(hand) towel,N2,(손) 수건
手前,てまえ,"before, this side",N2,전에는 이쪽
出迎え,でむかえ,"meeting, reception",N2,"회의, 리셉션"
出迎える,でむかえる,"to meet, to greet",N2,"만나다, 인사하다"
照らす,てらす,"to shine on, to illuminate",N2,"비추다, 비추다"
照る,てる,to shine,N2,빛나다
展開,てんかい,"develop, expansion (opposite of compression)",N2,"개발, 확장(압축의 반대)"
伝記,でんき,"biography, life story",N2,"전기, 인생 이야기"
電球,でんきゅう,light bulb,N2,전구
点数,てんすう,"marks, points, score",N2,"점수, 점수, 점수"
伝染,でんせん,contagion,N2,전염병
電池,でんち,battery,N2,배터리
電柱,でんちゅう,"telephone pole, telegraph pole, light pole",N2,"전신주, 전신주, 전주"
点々,てんてん,"here and there, little by little",N2,여기 저기 조금씩
転々,てんてん,from one to another,N2,하나에서 다른 것으로
天皇,てんのう,Emperor of Japan,N2,일본의 천황
電波,でんぱ,electro-magnetic wave,N2,전자기파
テンポ,テンポ,tempo,N2,속도
電流,でんりゅう,electric current,N2,전류
電力,でんりょく,electric power,N2,전력
問い合わせ,といあわせ,inquiry,N2,문의
銅,どう,copper,N2,구리
同～,どう～,same ~,N2,같은 ~
どういたしまして (かん),どういたしまして (かん),"you are welcome, don't mention it",N2,"천만에요, 언급하지 마세요"
統一,とういつ,"unity, consolidation, uniformity",N2,"단결, 강화, 통일"
同格,どうかく,"the same rank, equality, apposition",N2,"같은 계급, 평등, 동격"
峠,とうげ,"ridge, (mountain) pass, difficult part",N2,"능선, (산)고개, 어려운 부분"
統計,とうけい,"scattering, a scatter, dispersion",N2,"산란, 산란, 분산"
動作,どうさ,"action, movements, motions",N2,"행동, 움직임, 동작"
東西,とうざい,"East and West, whole country",N2,"동부와 서부, 전국"
当日,とうじつ,"appointed day, very day",N2,"정해진 날, 바로 그 날"
投書,とうしょ,"letter to the editor, letter from a reader, contribution",N2,"편집자에게 보내는 편지, 독자의 편지, 기고"
登場,とうじょう,entry (on stage),N2,입장 (무대 위)
どうせ,どうせ,"anyhow, in any case, at any rate",N2,"어쨌든, 어쨌든, 어쨌든"
灯台,とうだい,lighthouse,N2,등대
盗難,とうなん,"theft, robbery",N2,"절도, 강도"
当番,とうばん,being on duty,N2,근무 중
等分,とうぶん,division into equal parts,N2,동등한 부분으로 나누기
透明,とうめい,"transparency, cleanness",N2,"투명성, 깨끗함"
灯油,とうゆ,"lamp oil, kerosene",N2,"등유, 등유"
東洋,とうよう,"the East, the Orient",N2,"동양, 동양"
童話,どうわ,fairy tale,N2,동화
通り掛かる,とおりかかる,to happen to pass by,N2,우연히 지나가다
溶かす,とかす,"to melt, to dissolve",N2,"녹다, 녹이다"
尖る,とがる,"to taper to a point, to become sharp",N2,"끝으로 가늘어지다, 날카로워지다"
どきどき,どきどき,"throb, beat (fast)",N2,"두근두근, 두드리다 (빠르게)"
特殊,とくしゅ,"special, unique",N2,"특별한, 독특한"
特色,とくしょく,"characteristic, feature",N2,"특징, 특징"
特定,とくてい,"specific, special, particular",N2,"구체적인, 특별한, 특별한"
特売,とくばい,special sale,N2,특별 판매
溶け込む,とけこむ,to melt into; to become a part of,N2,녹아들다; ~의 일부가 되다
溶ける,とける,"(intransitive) to melt, to thaw, to fuse, to dissolve",N2,"(자동사) 녹이다, 녹이다, 융합하다, 용해시키다"
退ける,どける,"to dislodge, to put something out of the way",N2,"쫓아내다, 방해가 되는 것을 없애다"
床の間,とこのま,alcove,N2,반침
所々,ところどころ,"here and there, some parts (of something)",N2,"여기 저기, 어떤 부분"
都心,としん,heart (of city),N2,(도시의) 마음
戸棚,とだな,"cupboard, cabinet",N2,"찬장, 캐비닛"
とっくに,とっくに,"long ago, already, a long time ago",N2,"오래 전에, 이미, 오래 ??전에"
どっと,どっと,suddenly,N2,갑자기
整う,ととのう,"to be prepared, to be in order, to be arranged",N2,"준비하다, 정리하다, 정리하다"
留まる,とどまる,"to be fixed; to abide, to stay (in the one place)",N2,"고쳐질 것; (한 곳에) 머물다, 머물다"
怒鳴る,どなる,"to shout, to yell",N2,"소리 지르다, 소리 지르다"
殿,どの,Mister (mostly in addressing someone on an envelope),N2,아저씨 (주로 봉투에 적힌 사람에게 말을 할 때)
飛び込む,とびこむ,"to jump in, to leap in, to plunge into",N2,"뛰어들다, 뛰어들다, 뛰어들다"
留まる,とまる,"to be fixed; to abide, to stay (in the one place)",N2,"고쳐질 것; (한 곳에) 머물다, 머물다"
泊める,とめる,"to give shelter to, to lodge",N2,"피난처를 제공하다, 숙박하다"
ともかく,ともかく,"anyhow, at any rate, anyway",N2,"어쨌든, 어쨌든, 어쨌든"
捕える,とらえる,"to seize, to capture, to arrest",N2,"붙잡다, 붙잡다, 체포하다"
取り入れる,とりいれる,"to harvest, to take in, to adopt",N2,"수확하다, 받아들이다, 채택하다"
取り消す,とりけす,to cancel,N2,취소하다
取り出す,とりだす,"to take out, to pick out",N2,"꺼내다, 골라내다"
採る,とる,"to adopt (measure, proposal); to pick (fruit)",N2,"(조치, 제안)을 채택하다; (과일을) 따다"
捕る,とる,"to take, to catch (fish)",N2,"(물고기를) 잡다, 잡다"
丼,どんぶり,"porcelain bowl, bowl of rice with food on top",N2,"도자기 그릇, 밥 위에 음식을 얹은 그릇"
